date,hour,demand
2021-03-01,0,57.660510796171906
2021-03-01,1,52.29651102099536
2021-03-01,2,52.29651102099536
2021-03-01,3,52.29651102099536
2021-03-01,5,50.89358705104209
2021-03-01,6,50.996371850756795
2021-03-01,7,63.99054583544102
2021-03-01,8,71.43376175823586
2021-03-01,9,75.30566490691136
2021-03-01,10,76.85997832187769
2021-03-01,11,78.89743757571561
2021-03-01,12,84.92351408541985
2021-03-01,13,89.7378843949754
2021-03-01,14,89.25292646286577
2021-03-01,15,89.25292646286577
2021-03-01,16,90.57987286038683
2021-03-01,17,91.59573493457629
2021-03-01,18,89.11478967100605
2021-03-01,19,85.2124173695958
2021-03-01,20,77.40174399318829
2021-03-01,21,71.7124221008834
2021-03-01,22,68.26487720171178
2021-03-01,23,66.52252706423855
2021-03-02,0,54.347909983430604
2021-03-02,1,51.55496534154547
2021-03-02,2,52.055060560893374
2021-03-02,4,50.6521365909401
2021-03-02,6,50.75492139065481
2021-03-02,7,62.012990117675756
2021-03-02,8,69.45620604047059
2021-03-02,9,72.2144976826094
2021-03-02,10,73.16806538349242
2021-03-02,11,75.20552463733034
2021-03-02,12,80.26466090531343
2021-03-02,13,85.07903121486898
2021-03-02,14,85.07903121486898
2021-03-02,15,85.07903121486898
2021-03-02,16,88.50210986457914
2021-03-02,17,90.82659641802377
2021-03-02,18,88.34565115445353
2021-03-02,19,84.19183927050119
2021-03-02,20,76.42963723293022
2021-03-02,21,72.14906879292951
2021-03-02,22,67.03615453826262
2021-03-02,23,66.41857871165419
2021-03-03,0,55.410293876108206
2021-03-03,2,54.961489791325114
2021-03-03,3,54.961489791325114
2021-03-03,4,53.55856582137184
2021-03-03,5,52.62581112187354
2021-03-03,6,52.728595921588244
2021-03-03,7,60.408278500115614
2021-03-03,8,65.14213656330973
2021-03-03,9,67.90042820544855
2021-03-03,10,68.85399590633156
2021-03-03,11,70.89145516016949
2021-03-03,12,72.15654707651608
2021-03-03,13,72.02213851815657
2021-03-03,14,72.02213851815657
2021-03-03,15,72.02213851815657
2021-03-03,16,76.00380397214033
2021-03-03,17,78.90898303705703
2021-03-03,18,76.42803777348679
2021-03-03,19,77.66414248500976
2021-03-03,20,71.27938345390055
2021-03-03,21,66.99881501389984
2021-03-03,22,61.885900759232946
2021-03-03,23,60.242147735773564
2021-03-04,0,55.05286764220016
2021-03-04,1,53.70234641912707
2021-03-04,2,55.57779833586275
2021-03-04,4,54.17487436590948
2021-03-04,6,53.24211966641118
2021-03-04,7,61.64454700436925
2021-03-04,8,65.99287346359371
2021-03-04,9,68.43871219802097
2021-03-04,10,70.80547261630983
2021-03-04,11,72.84293187014775
2021-03-04,12,75.3928573496566
2021-03-04,13,75.25844879129708
